[12603.265s][info][gc,phases   ] GC(2446) Concurrent Process Non-Strong References 16900.371ms
[12603.278s][info][gc          ] Allocation Stall (requestHandler: 6630b3ef-4072-3215-6a90-c1140a4e5372: 16352822: 7) 107.291ms
[12603.278s][info][gc          ] Allocation Stall (qtp579590740-10032) 113.459ms
[12603.276s][info][gc          ] Allocation Stall (requestHandler: 55a9c5f7-e810-aa81-0b5e-1cf9af4fbe44: 17839070: 55) 231.597ms
[12603.277s][info][gc          ] Allocation Stall (qtp579590740-12419) 137.652ms
[12603.279s][info][gc          ] Allocation Stall (qtp579590740-12437) 106.939ms
[12603.278s][info][gc          ] Allocation Stall (requestHandler: 791dfe2e-dfe8-0c22-c66b-5d26b9fdee5d: 17129497: 13) 108.536ms
[12603.278s][info][gc          ] Allocation Stall (qtp579590740-4621) 123.941ms
[12603.277s][info][gc          ] Allocation Stall (requestHandler: 341e5e7c-fe25-d959-4c35-057eea0f321d: 13724593: 388) 118.425ms
[12603.277s][info][gc          ] Allocation Stall (requestHandler: d6f899b5-a0d6-3c8f-85fe-7dbcfa0f8e71: 15412211: 40) 166.252ms
[12603.278s][info][gc          ] Allocation Stall (requestHandler: d8c91ca8-ad14-7d10-554f-f75634120cd7: 16192981: bb1fd1a7-e678-4764-939a-7907dcee74c5) 110.249ms
[12603.277s][info][gc          ] Allocation Stall (requestHandler: de00808d-b963-c833-3ce7-340ff69c3216: 17265588: time: 3) 210.844ms
[12603.277s][info][gc          ] Allocation Stall (kafka-coordinator-heartbeat-thread) 127.637ms
[12603.276s][info][gc          ] Allocation Stall (requestHandler: 4b8e9bd8-3c63-d4c6-6eb1-796d57cdf95c: 12291036: 137) 235.637ms
[12603.277s][info][gc          ] Allocation Stall (requestHandler: d6f899b5-a0d6-3c8f-85fe-7dbcfa0f8e71: 15412211: 41) 162.928ms
[12603.284s][info][gc,phases   ] GC(2446) Pause Relocate Start 0.020ms
[12603.284s][info][gc          ] Allocation Stall (requestHandler: 1b98afd9-0815-f058-303b-7af7af4ab8c8: 13953795: 4) 105.618ms
[12603.284s][info][gc          ] Allocation Stall (requestHandler: 791dfe2e-dfe8-0c22-c66b-5d26b9fdee5d: 17129497: 17) 106.941ms
[12603.284s][info][gc          ] Allocation Stall (qtp579590740-11241) 105.621ms
[12603.285s][info][gc          ] Allocation Stall (requestHandler: 22bdefda-41fa-5b84-64a1-9c2a1d473a73: 13485842: 626) 105.699ms
[12603.285s][info][gc          ] Allocation Stall (requestHandler: 6ee7a04f-1f38-654a-a324-ec904d1e708a: 17384317: 7) 99.342ms
[12603.285s][info][gc          ] Allocation Stall (requestHandler: c8bf1213-afbf-7303-1eb8-6492182d974a: 16539076: 491) 99.302ms
[12603.285s][info][gc          ] Allocation Stall (requestHandler: fabebd02-340f-6af4-f4cb-7831d84e34c8: 15967879: 143) 105.738ms
[12603.285s][info][gc          ] Allocation Stall (requestHandler: 1f63d45d-995b-35c1-0e9b-d303a81bce8e: 15300771: 56) 105.777ms
[12603.285s][info][gc          ] Allocation Stall (requestHandler: 64a21562-ee4c-1bcc-2734-b263c3e53e36: 17200762: 11) 99.334ms
[12603.285s][info][gc          ] Allocation Stall (requestHandler: 791dfe2e-dfe8-0c22-c66b-5d26b9fdee5d: 17129497: 5) 105.361ms
[12603.285s][info][gc          ] Allocation Stall (requestHandler: 4b8de0ed-42e7-d40e-70f3-5f4c1ba9033a: 18084988: 133) 105.284ms
[12603.285s][info][gc          ] Allocation Stall (requestHandler: 8827ebd2-8440-0f61-10d4-982bab4b958a: 18063346: 179) 99.337ms
[12603.285s][info][gc          ] Allocation Stall (qtp579590740-1680) 104.943ms
[12603.285s][info][gc          ] Allocation Stall (requestHandler: 2b27600e-179d-988d-62e7-51cafe2d09e0: 16744755: b767e3a5-bbff-4d92-a0ca-a3aa1d7dd62d) 98.260ms
[12603.285s][info][gc          ] Allocation Stall (requestHandler: f1f3992d-b17d-fe0a-4329-a85cbe284fab: 15941889: 414) 104.977ms
[12603.285s][info][gc          ] Allocation Stall (requestHandler: 99f0b89f-e958-32bb-bc08-e65ed82391d6: 17117909: 6df339a3-14f6-4981-ac6d-18fe873447a3) 99.442ms
[12603.285s][info][gc          ] Allocation Stall (requestHandler: fbffa7e8-1fa6-7e3d-ed6f-d74a77716433: 14810923: 101) 104.554ms
[12603.285s][info][gc          ] Allocation Stall (requestHandler: aec0987a-5a00-e6ba-e3c7-012a62aa31c6: 16343732: 75) 104.555ms
[12603.285s][info][gc          ] Allocation Stall (requestHandler: 7b4d093e-fde3-920f-66e1-5d2e3a91986d: 17968283: 23ca90dc-9b56-4699-9449-ca56bdfc5389) 104.558ms
[12603.285s][info][gc          ] Allocation Stall (requestHandler: f832b0f0-5a55-32a9-9b13-acd0df626d82: 17203948: 411) 104.527ms
[12603.285s][info][gc          ] Allocation Stall (requestHandler: 66386bcc-7d6d-4611-e213-8cdba05f2af1: 17533220: 34) 104.948ms
[12603.285s][info][gc          ] Allocation Stall (requestHandler: b49282d1-826f-da67-e87e-98ff45599f41: 14163140: f9da70db-c6c7-458e-a28a-0e866b4563d1) 104.012ms
[12603.285s][info][gc          ] Allocation Stall (requestHandler: 8ab83436-133b-6b54-50f4-b639fba4d71b: 13035992: 23) 103.993ms
[12603.285s][info][gc          ] Allocation Stall (requestHandler: 098da986-5543-7399-c2dc-5d012c819d77: 16467838: 63) 97.799ms
[12603.285s][info][gc          ] Allocation Stall (requestHandler: 1831c617-ee49-ba13-06cc-1f7e09f0fb07: 17576309: 09f41bab-c35c-40a1-a493-515ddb57e904) 103.879ms
[12603.285s][info][gc          ] Allocation Stall (requestHandler: 64a21562-ee4c-1bcc-2734-b263c3e53e36: 17200762: 5) 103.239ms
[12603.285s][info][gc          ] Allocation Stall (requestHandler: 8ab83436-133b-6b54-50f4-b639fba4d71b: 13035992: 25) 97.930ms
[12603.285s][info][gc          ] Allocation Stall (requestHandler: e487b22f-e538-dd49-7a47-9a4f81f17dbd: 16499908: 209) 102.964ms
[12603.285s][info][gc          ] Allocation Stall (requestHandler: 2fd78680-8957-a2c5-3f68-5f990ab30c62: 14519628: 384) 103.226ms
[12603.285s][info][gc          ] Allocation Stall (requestHandler: f6321464-4d80-6b19-d4c5-10720f590cf7: 18080633: 452) 97.365ms
[12603.285s][info][gc          ] Allocation Stall (requestHandler: e487b22f-e538-dd49-7a47-9a4f81f17dbd: 16499908: time: 199) 104.314ms
[12603.285s][info][gc          ] Allocation Stall (requestHandler: 7975d0db-0478-cde8-b3c9-746de01303ce: 15513751: 258) 103.456ms
[12603.285s][info][gc          ] Allocation Stall (requestHandler: 6ee7a04f-1f38-654a-a324-ec904d1e708a: 17384317t: 4) 103.018ms
[12603.285s][info][gc          ] Allocation Stall (requestHandler: 6ee7a04f-1f38-654a-a324-ec904d1e708a: 17384317: 12) 98.847ms
[12603.286s][info][gc          ] Allocation Stall (requestHandler: 7213490a-31c9-1a39-cd0d-fffa2d04b8ea: 13443535: ed60ebcd-ab4d-49a8-b383-f98fd0a0b48f) 97.449ms
[12603.285s][info][gc          ] Allocation Stall (requestHandler: f753463f-037c-7e94-3237-03fa3d905ba5: 14010839: 17) 103.222ms
[12603.285s][info][gc          ] Allocation Stall (requestHandler: 66888c1c-2488-00f8-e45b-35853a8d8c2c: 18097949: 69) 103.377ms
[12603.285s][info][gc          ] Allocation Stall (requestHandler: 1d41a0d3-52e8-5df5-b0ed-fe25f32e4bb3: 15792523: 2a56886a-4c20-487e-ae4d-cd1b60584736) 98.620ms
[12603.286s][info][gc          ] Allocation Stall (requestHandler: c08a59dc-0948-3c69-60a7-bea172c0d114: 17846342: 206) 101.789ms
[12603.286s][info][gc          ] Allocation Stall (requestHandler: 241f1bf4-7ad8-e320-6abb-57e5f4af8079: 16830785: 91c3260e-dd13-42dc-93f4-aadc9754fd43) 102.159ms
[12603.285s][info][gc          ] Allocation Stall (requestHandler: 8c856465-f350-5600-d609-e2ea2a087ae0: 14946228: 81b70678-836a-4aa7-aadc-b5d8b5b2649a) 98.768ms
[12603.286s][info][gc          ] Allocation Stall (requestHandler: 72bec44f-e577-25db-277c-485da54cb511: 16703413: 0c684392-2278-4068-bdf6-b1c60552a5ea) 96.548ms
[12603.286s][info][gc          ] Allocation Stall (requestHandler: 5870f009-dc80-ee90-3128-7d3b99b92c90: 14772817: 7f2a3656-a521-4157-a29b-f7c1b58807b4) 97.590ms
[12603.286s][info][gc          ] Allocation Stall (requestHandler: f0df6304-5d0e-bffb-c16c-518aa0058e24: 16821501: e4d537a8-f650-4495-a270-157e3a906e59) 96.453ms
[12603.286s][info][gc          ] Allocation Stall (requestHandler: 05c87ffd-ea25-c7f2-3bfd-f7a71e581c36: 18056035: 6c916090-1eaa-4a46-99c2-7e390fa07973) 96.039ms
[12603.286s][info][gc          ] Allocation Stall (qtp579590740-11632) 96.583ms
[12603.285s][info][gc          ] Allocation Stall (requestHandler: 7975d0db-0478-cde8-b3c9-746de01303ce: 15513751: 259) 105.306ms
[12603.286s][info][gc          ] Allocation Stall (requestHandler: 910a5f78-3a97-369b-f9fc-df5bc05ecc34: 11589378: 133) 97.633ms
[12603.286s][info][gc          ] Allocation Stall (consumer-0-C-1) 94.731ms
[12603.286s][info][gc          ] Allocation Stall (requestHandler: a8666ac5-d494-e7a7-ab79-f8ae275ed60f: null: 1) 101.279ms
[12603.286s][info][gc          ] Allocation Stall (requestHandler: 565ac7a7-5c4c-d65d-8aa2-a0481b169b6c: 17331026: dcc1ff16-c536-45b1-a12f-96d5c5243b30) 98.320ms
[12603.286s][info][gc          ] Allocation Stall (consumer-0-C-1) 94.489ms
[12603.286s][info][gc          ] Allocation Stall (requestHandler: 3cfadea1-f722-0ca2-2903-2e71305a30be: 16528949: 134) 94.330ms
[12603.286s][info][gc          ] Allocation Stall (kafka-coordinator-heartbeat-thread) 104.047ms
[12603.285s][info][gc          ] Allocation Stall (requestHandler: 887269fd-8c5e-9dd3-576a-59ba9dda5870: 16846177: 248) 104.553ms
[12603.287s][info][gc          ] Allocation Stall (requestHandler: 2825c94b-b3d2-58af-5a4a-9d765e0a36cb: 15055342: 623) 94.353ms
[12603.285s][info][gc          ] Allocation Stall (requestHandler: f6e1cec4-6277-8e10-cd22-acb151195fc4: 14826017: d2468c03-ff10-4e7a-8ee9-84b59284c1c1) 104.856ms
[12603.287s][info][gc          ] Allocation Stall (requestHandler: 5ec16110-e1d2-4f19-20b8-2b6f86aba75c: 13838253: 101) 94.187ms
[12603.286s][info][gc          ] Allocation Stall (requestHandler: e177a33b-930a-7731-bed0-eef3c9058e48: 17652941: 34c3feac-faa4-49d7-a80c-0c848d9e0716) 97.622ms
[12603.287s][info][gc          ] Allocation Stall (requestHandler: 92db0ede-0129-1982-119f-2f2abfa419fa: 17827465: fa5cc22d-7c28-4b67-8366-5ed3dc0b0dce) 93.821ms
[12603.287s][info][gc          ] Allocation Stall (requestHandler: 408ea7f2-6f0f-2659-affa-0f2011668d6d: 11264113: 577) 93.832ms
[12603.285s][info][gc          ] Allocation Stall (requestHandler: 401bb009-4948-07e3-c1d6-1df451b6db9a: 11854272: 53) 98.497ms
[12603.287s][info][gc          ] Allocation Stall (requestHandler: f9b5d6fa-1cc3-7b16-765d-bdad05b8a64c: 16453234: 3a0bfc9a-cf50-43b3-a38e-3b64abbf7ab5) 93.787ms
[12603.285s][info][gc          ] Allocation Stall (requestHandler: 8827ebd2-8440-0f61-10d4-982bab4b958a: 18063346: 183) 105.785ms
[12603.286s][info][gc          ] Allocation Stall (requestHandler: 57cc055e-2298-dd0a-4b95-9cfc2cf35184: 18097818: 140) 103.576ms
[12603.286s][info][gc          ] Allocation Stall (requestHandler: 774ad608-d872-eab7-b8a3-fc6c6447e6bf: 18093085: 388) 100.809ms
[12603.287s][info][gc          ] Allocation Stall (requestHandler: a222fb73-00ab-038a-0679-b610dfb89b59: 14762760: 7991355c-4e8e-4e90-bfc6-da069c99a688) 93.585ms
[12603.287s][info][gc          ] Allocation Stall (requestHandler: 85dc0062-b073-8a73-38e9-8fdbae51a909: 18089757: e714880b-1ee5-4af1-bd5b-7bd6ed809643) 94.959ms
[12603.287s][info][gc          ] Allocation Stall (qtp579590740-7756) 91.487ms
[12603.286s][info][gc          ] Allocation Stall (requestHandler: 2ebc5ff5-aeb1-9c47-892b-5fd06dd411c0: 15756397: 55) 96.654ms
[12603.286s][info][gc          ] Allocation Stall (requestHandler: f013c1ee-7df5-175a-514b-773af0e329b6: 16261611: c27bb17d-1443-4742-bff8-7e31d93b92d8) 102.468ms
[12603.286s][info][gc          ] Allocation Stall (requestHandler: c8ed8255-829a-e0f6-15db-05e000fc8178: 17198743: 288) 101.925ms
[12603.286s][info][gc          ] Allocation Stall (requestHandler: 94ebbf53-fe59-be2e-d4fb-ff4f6c73d9ae: 17754873: 368e011c-385d-4baf-842f-93721d7afdbc) 98.210ms
[12603.287s][info][gc          ] Allocation Stall (requestHandler: e82177bc-d809-a546-0e68-adc1d76db038: 16605431: 140) 90.467ms
[12603.287s][info][gc          ] Allocation Stall (requestHandler: 08d4c195-25b4-43ba-6547-a8d2a9535c90: null: 0) 94.835ms
[12603.285s][info][gc          ] Allocation Stall (requestHandler: 791dfe2e-dfe8-0c22-c66b-5d26b9fdee5d: 17129497: professional.profile.get: 9) 102.521ms
[12603.287s][info][gc          ] Allocation Stall (requestHandler: 7dfe1628-9a2b-b54b-d25f-e9dfe3231a4f: 17713354: 80ebc42c-c7f0-4c79-9dfc-2da081e110ed) 90.664ms
[12603.287s][info][gc          ] Allocation Stall (requestHandler: c1589103-fb42-7f2e-1c2e-dd538fcc27a8: 17311554: 70) 89.204ms
[12603.287s][info][gc          ] Allocation Stall (requestHandler: 2fbcbf46-9966-5015-ea37-4b16360b8e3c: 18069219: 0600367b-2bf8-4aeb-9c64-e11185a863d8) 91.633ms
[12603.287s][info][gc          ] Allocation Stall (requestHandler: 43b74679-5cf2-7932-d161-bbe71a8b04fb: 12664113: 417) 92.994ms
[12603.287s][info][gc          ] Allocation Stall (qtp579590740-12424) 89.669ms
[12603.286s][info][gc          ] Allocation Stall (requestHandler: 7dfe1628-9a2b-b54b-d25f-e9dfe3231a4f: 17713354: dcf86c49-8043-4208-bf35-139091fe4a81) 102.019ms
[12603.286s][info][gc          ] Allocation Stall (requestHandler: f9998d62-3dfa-49ae-9040-c92e9bed5199: 17536496: 65) 99.043ms
[12603.287s][info][gc          ] Allocation Stall (request-handler-5792) 88.267ms
[12603.286s][info][gc          ] Allocation Stall (requestHandler: e487b22f-e538-dd49-7a47-9a4f81f17dbd: 16499908: 211) 102.295ms
[12603.287s][info][gc          ] Allocation Stall (request-handler-5794) 87.880ms
[12603.285s][info][gc          ] Allocation Stall (requestHandler: 545e16bd-b819-c660-b91a-82beb319c598: 14089141: 35396050-3ffb-429f-9ca7-14fcbec5013c) 99.421ms
[12603.287s][info][gc          ] Allocation Stall (requestHandler: e487b22f-e538-dd49-7a47-9a4f81f17dbd: 16499908: 202) 101.973ms
[12603.286s][info][gc          ] Allocation Stall (requestHandler: 7398f06a-18e9-e75b-86c9-5528d7584386: 18094122: 2c647c64-4815-4606-8e02-33e1aa1e01f0) 105.177ms
[12603.286s][info][gc          ] Allocation Stall (requestHandler: de42720e-b694-afeb-cdad-ec8e5f3c4217: 17260075: 904) 96.557ms
[12603.288s][info][gc          ] Allocation Stall (request-handler-5799) 85.819ms
[12603.288s][info][gc          ] Allocation Stall (request-handler-5795) 86.671ms
[12603.285s][info][gc          ] Allocation Stall (requestHandler: 4c700259-523f-8e7f-3c4e-0f8031706345: 17579904: 5f9277d7-0587-40a5-8ed7-273f26aa9c5a) 98.009ms
[12603.287s][info][gc          ] Allocation Stall (requestHandler: 21281e66-fb43-8aa1-f943-4b70663cc143: 16350484: 57a9e1f9-1054-4a36-8706-520455cbec4a) 94.434ms
[12603.286s][info][gc          ] Allocation Stall (requestHandler: 9daf4ca4-f217-d6e1-f842-1d3a54286a06: 17197154: 2111fbea-fb17-4526-8845-42302e49ac4e) 96.752ms
[12603.287s][info][gc          ] Allocation Stall (requestHandler: 76e87826-8e15-6595-b9e7-457e62c71947: 13265313: 45) 91.321ms
[12603.288s][info][gc          ] Allocation Stall (request-handler-5800) 84.751ms
[12603.286s][info][gc          ] Allocation Stall (qtp579590740-2399) 103.582ms
[12603.285s][info][gc          ] Allocation Stall (requestHandler: 129ee3bd-102e-7bfd-07b5-9504fadffd0a: 17614217: 2561) 104.572ms
[12603.285s][info][gc          ] Allocation Stall (qtp579590740-11735) 105.132ms
[12603.286s][info][gc          ] Allocation Stall (qtp579590740-7730) 102.692ms
[12603.286s][info][gc          ] Allocation Stall (requestHandler: a0c832a7-3591-50a9-fbe5-ec7851d90eb7: 12158613: 46) 98.139ms
[12603.287s][info][gc          ] Allocation Stall (requestHandler: 7680e029-80b7-45ce-f8ab-a439d50f4941: 12464327: 162) 89.403ms
[12603.287s][info][gc          ] Allocation Stall (requestHandler: a9d9cc3b-62cc-bc13-0ee4-c853f8f513c9: 15654357: 115) 94.348ms
[12603.288s][info][gc          ] Allocation Stall (request-handler-5808) 81.186ms
[12603.288s][info][gc          ] Allocation Stall (request-handler-5806) 81.736ms
[12603.285s][info][gc          ] Allocation Stall (requestHandler: aec0987a-5a00-e6ba-e3c7-012a62aa31c6: 16343732: 79) 105.004ms
[12603.287s][info][gc          ] Allocation Stall (requestHandler: 41b50b1c-6bd2-c39e-3ad6-d75c2cd2ced0: 17749606: dd5ae07a-1dbe-46fe-b588-82e10ca5d55f) 94.292ms
[12603.288s][info][gc          ] Allocation Stall (request-handler-5809) 80.600ms
[12603.288s][info][gc          ] Allocation Stall (request-handler-5798) 86.729ms
[12603.288s][info][gc          ] Allocation Stall (request-handler-5797) 87.322ms
[12603.288s][info][gc          ] Allocation Stall (qtp579590740-12427) 80.144ms
[12603.288s][info][gc          ] Allocation Stall (request-handler-5812) 79.275ms
[12603.288s][info][gc          ] Allocation Stall (request-handler-5793) 88.409ms
[12603.288s][info][gc          ] Allocation Stall (qtp579590740-4344) 75.649ms
[12603.288s][info][gc          ] Allocation Stall (qtp579590740-1522) 85.636ms
[12603.288s][info][gc          ] Allocation Stall (qtp579590740-1173) 85.512ms
[12603.288s][info][gc          ] Allocation Stall (qtp579590740-4762) 91.964ms
[12603.285s][info][gc          ] Allocation Stall (requestHandler: 791dfe2e-dfe8-0c22-c66b-5d26b9fdee5d: 17129497: 18) 104.595ms
[12603.288s][info][gc          ] Allocation Stall (request-handler-5811) 79.632ms
[12603.288s][info][gc          ] Allocation Stall (qtp579590740-2397) 69.334ms
[12603.288s][info][gc          ] Allocation Stall (request-handler-5803) 83.650ms
[12603.288s][info][gc          ] Allocation Stall (request-handler-5804) 83.063ms
[12603.288s][info][gc          ] Allocation Stall (request-handler-5819) 65.192ms
[12603.288s][info][gc          ] Allocation Stall (qtp579590740-4624) 83.167ms
[12603.288s][info][gc          ] Allocation Stall (requestHandler: 0925cb94-b894-80e7-2e8e-0e06385dfcf7: 14513239: 612) 82.975ms
[12603.289s][info][gc          ] Allocation Stall (request-handler-5818) 68.119ms
[12603.289s][info][gc          ] Allocation Stall (request-handler-5805) 82.998ms
[12603.288s][info][gc          ] Allocation Stall (request-handler-5796) 81.593ms
[12603.288s][info][gc          ] Allocation Stall (qtp579590740-4720) 80.535ms
[12603.289s][info][gc          ] Allocation Stall (kafka-coordinator-heartbeat-thread) 63.685ms
[12603.289s][info][gc          ] Allocation Stall (requestHandler: f57d8b57-7c44-d122-d501-bc1de523cdbe: 17719563: 1156) 58.676ms
[12603.289s][info][gc          ] Allocation Stall (qtp579590740-4551) 57.669ms
[12603.285s][info][gc          ] Allocation Stall (requestHandler: 8ab83436-133b-6b54-50f4-b639fba4d71b: 13035992: 24) 104.931ms
[12603.289s][info][gc          ] Allocation Stall (qtp579590740-15112) 57.196ms
[12603.286s][info][gc          ] Allocation Stall (requestHandler: a493afbf-2a3c-b627-6c87-ccc22686a424: 16540921: fbec3ae5-eac2-459a-9f14-9341f1d62214) 100.626ms
[12603.289s][info][gc          ] Allocation Stall (requestHandler: d8f0354b-44a0-47d2-f530-708484644c56: 17137248: 112) 58.028ms
[12603.287s][info][gc          ] Allocation Stall (requestHandler: 27487fca-b7e5-5fbd-cbf4-3d8609f4ac54: 13087825: 8f9492ba-f780-4c9a-8b55-a43af41495ef) 92.954ms
[12603.289s][info][gc          ] Allocation Stall (request-handler-5821) 51.047ms
[12603.288s][info][gc          ] Allocation Stall (kafka-coordinator-heartbeat-thread | translate.user_doc_deleted_consumer) 86.806ms
[12603.289s][info][gc          ] Allocation Stall (request-handler-5822) 50.719ms
[12603.287s][info][gc          ] Allocation Stall (request-handler-5790) 88.767ms
[12603.289s][info][gc          ] Allocation Stall (kafka-coordinator-heartbeat-thread ) 49.366ms
[12603.289s][info][gc          ] Allocation Stall (kafka-coordinator-heartbeat-thread | as.withdrawal_approve_consumer) 48.860ms
[12603.289s][info][gc          ] Allocation Stall (requestHandler: 86423186-d4e4-f923-668c-9da638a4e056: 18075839: 1460) 47.011ms
[12603.287s][info][gc          ] Allocation Stall (request-handler-5791) 88.662ms
[12603.289s][info][gc          ] Allocation Stall (requestHandler: baacda8a-23c2-82b3-2702-c30f0d2d08f5: null: 55e97210-7628-4366-8546-cfefc94d454d) 58.685ms
[12603.289s][info][gc          ] Allocation Stall (request-handler-5816) 73.661ms
[12603.288s][info][gc          ] Allocation Stall (request-handler-5807) 81.378ms
[12603.289s][info][gc          ] Allocation Stall (request-handler-5825) 42.479ms
[12603.288s][info][gc          ] Allocation Stall (request-handler-5814) 75.333ms
[12603.288s][info][gc          ] Allocation Stall (request-handler-5813) 75.583ms
[12603.288s][info][gc          ] Allocation Stall (request-handler-5802) 83.785ms
[12603.289s][info][gc          ] Allocation Stall (qtp579590740-2578) 51.923ms
[12603.288s][info][gc          ] Allocation Stall (request-handler-5810) 80.063ms
[12603.286s][info][gc          ] Allocation Stall (requestHandler: e487b22f-e538-dd49-7a47-9a4f81f17dbd: 16499908t: 200) 99.772ms
[12603.289s][info][gc          ] Allocation Stall (consumer-14-C-1) 52.603ms
[12603.289s][info][gc          ] Allocation Stall (request-handler-5827) 39.004ms
[12603.289s][info][gc          ] Allocation Stall (consumer-3-C-1) 45.916ms
[12603.288s][info][gc          ] Allocation Stall (requestHandler: 48d837ec-a084-12f7-54d3-4024de777160: 13003233: 484) 75.713ms
[12603.290s][info][gc          ] Allocation Stall (request-handler-5829) 36.979ms
[12603.290s][info][gc          ] Allocation Stall (request-handler-5828) 38.971ms
[12603.289s][info][gc          ] Allocation Stall (request-handler-5824) 42.768ms
[12603.289s][info][gc          ] Allocation Stall (qtp579590740-11244) 40.938ms
[12603.290s][info][gc          ] Allocation Stall (request-handler-5832) 35.496ms
[12603.288s][info][gc          ] Allocation Stall (request-handler-5801) 84.170ms
[12603.290s][info][gc          ] Allocation Stall (request-handler-5826) 39.480ms
[12603.290s][info][gc          ] Allocation Stall (request-handler-5834) 33.200ms
[12603.290s][info][gc          ] Allocation Stall (request-handler-5831) 36.323ms
[12603.289s][info][gc          ] Allocation Stall (requestHandler: 3486d93a-8514-04ca-1d92-7257f4f0a95d: 14932844: 37) 67.643ms
[12603.289s][info][gc          ] Allocation Stall (requestHandler: 6372e9f5-a8e5-1ea6-cf86-790a650d6b0b: 17483975: 6ac21004-e872-402b-ac35-0b8dd4b42145) 96.007ms
[12603.289s][info][gc          ] Allocation Stall (request-handler-5817) 70.909ms
[12603.290s][info][gc          ] Allocation Stall (grpc-default-worker-ELG-1-3) 31.135ms
[12603.290s][info][gc          ] Allocation Stall (qtp579590740-11321) 36.979ms
[12603.290s][info][gc          ] Allocation Stall (requestHandler: a6e09afa-4169-faef-0512-33912e70fd71: 12770603: 1153) 30.470ms
[12603.290s][info][gc          ] Allocation Stall (request-handler-5833) 34.038ms
[12603.290s][info][gc          ] Allocation Stall (request-handler-5838) 30.257ms
[12603.290s][info][gc          ] Allocation Stall (request-handler-5837) 30.709ms
[12603.290s][info][gc          ] Allocation Stall (request-handler-5839) 30.187ms
[12603.289s][info][gc          ] Allocation Stall (requestHandler: 08b1d67f-2f63-e933-fa2d-f4a21f27281b: 12422627: 721) 39.583ms
[12603.290s][info][gc          ] Allocation Stall (request-handler-5840) 28.742ms
[12603.290s][info][gc          ] Allocation Stall (request-handler-5836) 31.839ms
[12603.290s][info][gc          ] Allocation Stall (requestHandler: 2f580484-08f2-482c-1eb4-ad2a8b7b3c53: 16263367: 49) 35.129ms
[12603.290s][info][gc          ] Allocation Stall (request-handler-5842) 28.188ms
[12603.290s][info][gc          ] Allocation Stall (consumer-9-C-1) 37.821ms
[12603.290s][info][gc          ] Allocation Stall (qtp579590740-10027) 27.289ms
[12603.290s][info][gc          ] Allocation Stall (request-handler-5844) 27.025ms
[12603.290s][info][gc          ] Allocation Stall (consumer--3-C-1) 37.301ms
[12603.290s][info][gc          ] Allocation Stall (requestHandler: a222fb73-00ab-038a-0679-b610dfb89b59: 14762760: 30cab22a-df1f-4158-b506-30ca0a4e90fe) 46.207ms
[12603.289s][info][gc          ] Allocation Stall (requestHandler: 8f6113e8-5a05-b1ef-90e7-4732d9cee197: 13063630: 74) 41.416ms
[12603.286s][info][gc          ] Allocation Stall (requestHandler: fbccf2ab-3d4b-5743-dd44-49908f4925be: 12364288: 784) 96.011ms
[12603.291s][info][gc          ] Allocation Stall (qtp579590740-11619) 13.620ms
[12603.291s][info][gc          ] Allocation Stall (request-handler-5845) 25.284ms
[12603.291s][info][gc          ] Allocation Stall (request-handler-5846) 14.030ms
[12603.290s][info][gc          ] Allocation Stall (qtp579590740-1144) 26.594ms
[12603.291s][info][gc          ] Allocation Stall (requestHandler: 40e68e81-3b08-4a63-4ef4-734748182962: 17047998: 21) 13.221ms
[12603.291s][info][gc          ] Allocation Stall (qtp579590740-7228) 12.930ms
[12603.290s][info][gc          ] Allocation Stall (request-handler-5830) 36.563ms
[12603.291s][info][gc          ] Allocation Stall (requestHandler: 351793e7-9cf1-122e-6cd1-bce525a0f1e7: 17926806t: 129) 5.985ms
[12603.291s][info][gc          ] Allocation Stall (requestHandler: 1da35ff5-b497-1510-b4ef-4ce9d3ec0c61: 15180651: 428) 2.807ms
[12603.291s][info][gc          ] Allocation Stall (request-handler-5835) 32.818ms
[12603.291s][info][gc          ] Allocation Stall (qtp579590740-11735) 1.221ms
[12603.291s][info][gc          ] Allocation Stall (requestHandler: fc9106fa-9e8f-6876-f2e9-ff1d31340d15: 18097878: 139) 0.082ms
[12603.291s][info][gc          ] Allocation Stall (request-handler-5815) 78.243ms
[12603.289s][info][gc          ] Allocation Stall (request-handler-5823) 48.820ms
[12603.292s][info][gc          ] Allocation Stall (qtp579590740-11244) 0.291ms
[12603.291s][info][gc          ] Allocation Stall (consumer-r-6-C-1) 32.356ms
[12603.292s][info][gc          ] Allocation Stall (requestHandler: 408ea7f2-6f0f-2659-affa-0f2011668d6d: 11264113: 577) 3.149ms
[12603.292s][info][gc          ] Allocation Stall (request-handler-5843) 29.537ms
[12603.289s][info][gc          ] Allocation Stall (requestHandler: f18c4540-fc8b-de84-b86c-a4120a493419: 11570392: 2546) 56.455ms
[12603.292s][info][gc          ] Allocation Stall (request-handler-5841) 30.273ms
[12603.292s][info][gc          ] Allocation Stall (requestHandler: 802d33a5-a789-387c-b81a-282e18c63595: 14954775: 431) 14.261ms
[12603.296s][info][gc          ] Allocation Stall (request-handler-5820) 59.915ms
[12603.296s][info][gc          ] Allocation Stall (qtp579590740-15112) 1.364ms
